sample_id	pathway_id	pathway_name	annotated_pathway_ko_count	observed_kos	total_kos	completeness_pct	matched_observed_kos	matched_ko_count_sum
49A	map01100	Metabolic pathways	110224	1704	4970	34.29	1708	55169
1A	map01100	Metabolic pathways	105926	1531	4970	30.8	1533	53011
47A	map01100	Metabolic pathways	97826	1250	4970	25.15	1252	48939
42A	map01100	Metabolic pathways	95360	1401	4970	28.19	1403	47697
3A	map01100	Metabolic pathways	92934	1521	4970	30.6	1523	46502
46A	map01100	Metabolic pathways	92656	1540	4970	30.99	1542	46380
5A	map01100	Metabolic pathways	89410	1299	4970	26.14	1301	44721
13A	map01100	Metabolic pathways	81542	1760	4970	35.41	1763	40795
14A	map01100	Metabolic pathways	75038	1706	4970	34.33	1710	37549
49A	map01110	Biosynthesis of secondary metabolites	52148	588	2307	25.49	588	26074
1A	map01110	Biosynthesis of secondary metabolites	51102	556	2307	24.1	556	25551
47A	map01110	Biosynthesis of secondary metabolites	47446	454	2307	19.68	454	23723
42A	map01110	Biosynthesis of secondary metabolites	44828	496	2307	21.5	496	22414
46A	map01110	Biosynthesis of secondary metabolites	44346	533	2307	23.1	533	22173
3A	map01110	Biosynthesis of secondary metabolites	43996	532	2307	23.06	532	21998
5A	map01110	Biosynthesis of secondary metabolites	42768	465	2307	20.16	465	21384
13A	map01110	Biosynthesis of secondary metabolites	37366	590	2307	25.57	590	18683
14A	map01110	Biosynthesis of secondary metabolites	34216	559	2307	24.23	559	17108
49A	map01120	Microbial metabolism in diverse environments	32290	616	1437	42.87	616	16145
1A	map01120	Microbial metabolism in diverse environments	31652	561	1437	39.04	561	15826
47A	map01120	Microbial metabolism in diverse environments	28610	420	1437	29.23	420	14305
47A	map01240	Biosynthesis of cofactors	28596	211	380	55.53	211	14298
42A	map01120	Microbial metabolism in diverse environments	28386	512	1437	35.63	512	14193
3A	map01120	Microbial metabolism in diverse environments	27638	537	1437	37.37	537	13819
49A	map01240	Biosynthesis of cofactors	27012	244	380	64.21	244	13506
46A	map01120	Microbial metabolism in diverse environments	26964	523	1437	36.4	523	13482
1A	map01240	Biosynthesis of cofactors	26912	233	380	61.32	233	13456
5A	map01120	Microbial metabolism in diverse environments	26238	446	1437	31.04	446	13119
42A	map01240	Biosynthesis of cofactors	25390	211	380	55.53	211	12695
5A	map01240	Biosynthesis of cofactors	25098	209	380	55	209	12549
46A	map01240	Biosynthesis of cofactors	23808	231	380	60.79	231	11904
13A	map01120	Microbial metabolism in diverse environments	23544	644	1437	44.82	644	11772
3A	map01240	Biosynthesis of cofactors	23472	230	380	60.53	230	11736
47A	map01230	Biosynthesis of amino acids	21666	137	242	56.61	137	10833
49A	map01230	Biosynthesis of amino acids	21666	161	242	66.53	161	10833
14A	map01120	Microbial metabolism in diverse environments	21376	600	1437	41.75	600	10688
1A	map01230	Biosynthesis of amino acids	21332	159	242	65.7	159	10666
13A	map01240	Biosynthesis of cofactors	21104	247	380	65	247	10552
14A	map01240	Biosynthesis of cofactors	19586	243	380	63.95	243	9793
42A	map01230	Biosynthesis of amino acids	19548	140	242	57.85	140	9774
5A	map01230	Biosynthesis of amino acids	19258	135	242	55.79	135	9629
47A	map03010	Ribosome	19170	92	201	45.77	92	9585
46A	map01230	Biosynthesis of amino acids	18936	157	242	64.88	157	9468
1A	map01200	Carbon metabolism	18730	213	383	55.61	213	9365
3A	map01230	Biosynthesis of amino acids	18262	154	242	63.64	154	9131
49A	map01200	Carbon metabolism	18128	219	383	57.18	219	9064
47A	map01200	Carbon metabolism	17026	172	383	44.91	172	8513
5A	map03010	Ribosome	16588	80	201	39.8	80	8294
3A	map01200	Carbon metabolism	16494	209	383	54.57	209	8247
1A	map03010	Ribosome	16418	83	201	41.29	83	8209
13A	map01230	Biosynthesis of amino acids	16192	166	242	68.6	166	8096
46A	map01200	Carbon metabolism	16180	204	383	53.26	204	8090
42A	map03010	Ribosome	16176	88	201	43.78	88	8088
49A	map03010	Ribosome	16036	93	201	46.27	93	8018
42A	map01200	Carbon metabolism	15980	186	383	48.56	186	7990
47A	map02020	Two-component system	15748	145	521	27.83	145	7874
5A	map01200	Carbon metabolism	15446	174	383	45.43	174	7723
46A	map03010	Ribosome	15334	116	201	57.71	116	7667
14A	map01230	Biosynthesis of amino acids	14842	164	242	67.77	164	7421
42A	map02020	Two-component system	14810	167	521	32.05	167	7405
49A	map02020	Two-component system	14770	210	521	40.31	210	7385
3A	map03010	Ribosome	14748	96	201	47.76	96	7374
1A	map02020	Two-component system	14700	177	521	33.97	177	7350
5A	map02020	Two-component system	14238	155	521	29.75	155	7119
46A	map02020	Two-component system	14210	182	521	34.93	182	7105
3A	map02020	Two-component system	13794	182	521	34.93	182	6897
13A	map03010	Ribosome	12360	86	201	42.79	86	6180
13A	map02020	Two-component system	12106	215	521	41.27	215	6053
13A	map01200	Carbon metabolism	12052	217	383	56.66	218	6028
14A	map02020	Two-component system	11724	210	521	40.31	210	5862
14A	map03010	Ribosome	11352	103	201	51.24	103	5676
14A	map01200	Carbon metabolism	11276	203	383	53	204	5639
49A	map00230	Purine metabolism	8964	104	228	45.61	104	4482
1A	map00230	Purine metabolism	8662	97	228	42.54	97	4331
47A	map03440	Homologous recombination	8602	24	72	33.33	24	4301
47A	map01232	Nucleotide metabolism	8390	58	123	47.15	58	4195
49A	map01232	Nucleotide metabolism	8386	72	123	58.54	72	4193
47A	map00230	Purine metabolism	8104	82	228	35.96	82	4052
42A	map00230	Purine metabolism	8080	88	228	38.6	88	4040
1A	map01232	Nucleotide metabolism	7906	66	123	53.66	66	3953
1A	map03440	Homologous recombination	7828	23	72	31.94	23	3914
3A	map00230	Purine metabolism	7664	92	228	40.35	92	3832
49A	map03440	Homologous recombination	7614	25	72	34.72	25	3807
46A	map00230	Purine metabolism	7610	94	228	41.23	94	3805
1A	map00010	Glycolysis / Gluconeogenesis	7602	58	109	53.21	58	3801
5A	map01232	Nucleotide metabolism	7588	57	123	46.34	57	3794
42A	map01232	Nucleotide metabolism	7588	63	123	51.22	63	3794
5A	map00230	Purine metabolism	7576	82	228	35.96	82	3788
42A	map03440	Homologous recombination	7516	25	72	34.72	25	3758
47A	map00010	Glycolysis / Gluconeogenesis	7424	48	109	44.04	48	3712
49A	map00010	Glycolysis / Gluconeogenesis	7380	62	109	56.88	62	3690
1A	map00680	Methane metabolism	7262	102	197	51.78	102	3631
47A	map00670	One carbon pool by folate	7224	25	65	38.46	25	3612
5A	map03440	Homologous recombination	7218	24	72	33.33	24	3609
46A	map01232	Nucleotide metabolism	7206	68	123	55.28	68	3603
3A	map01232	Nucleotide metabolism	6998	67	123	54.47	67	3499
49A	map00680	Methane metabolism	6986	110	197	55.84	110	3493
13A	map00230	Purine metabolism	6914	110	228	48.25	110	3457
47A	map00270	Cysteine and methionine metabolism	6858	46	129	35.66	46	3429
49A	map02010	ABC transporters	6834	212	515	41.17	212	3417
47A	map00860	Porphyrin metabolism	6820	55	142	38.73	55	3410
3A	map03440	Homologous recombination	6798	26	72	36.11	26	3399
46A	map00010	Glycolysis / Gluconeogenesis	6790	58	109	53.21	58	3395
46A	map03440	Homologous recombination	6738	29	72	40.28	29	3369
47A	map00680	Methane metabolism	6692	82	197	41.62	82	3346
5A	map00010	Glycolysis / Gluconeogenesis	6664	48	109	44.04	48	3332
42A	map00010	Glycolysis / Gluconeogenesis	6578	46	109	42.2	46	3289
3A	map00010	Glycolysis / Gluconeogenesis	6554	57	109	52.29	57	3277
1A	map00270	Cysteine and methionine metabolism	6538	59	129	45.74	59	3269
49A	map00270	Cysteine and methionine metabolism	6538	65	129	50.39	65	3269
3A	map00680	Methane metabolism	6438	103	197	52.28	103	3219
49A	map00190	Oxidative phosphorylation	6438	99	224	44.2	99	3219
49A	map00860	Porphyrin metabolism	6422	63	142	44.37	63	3211
1A	map00670	One carbon pool by folate	6374	32	65	49.23	32	3187
46A	map00680	Methane metabolism	6362	104	197	52.79	104	3181
13A	map01232	Nucleotide metabolism	6352	72	123	58.54	72	3176
14A	map00230	Purine metabolism	6318	108	228	47.37	108	3159
42A	map00680	Methane metabolism	6184	84	197	42.64	84	3092
13A	map02010	ABC transporters	6178	227	515	44.08	227	3089
47A	map00260	"Glycine, serine and threonine metabolism"	6168	48	110	43.64	48	3084
1A	map00860	Porphyrin metabolism	6160	60	142	42.25	60	3080
1A	map00260	"Glycine, serine and threonine metabolism"	6112	59	110	53.64	59	3056
5A	map00860	Porphyrin metabolism	6096	52	142	36.62	52	3048
42A	map00270	Cysteine and methionine metabolism	6094	57	129	44.19	57	3047
5A	map00680	Methane metabolism	6092	84	197	42.64	84	3046
13A	map03440	Homologous recombination	6088	26	72	36.11	26	3044
42A	map00860	Porphyrin metabolism	6068	53	142	37.32	53	3034
49A	map00620	Pyruvate metabolism	6068	77	139	55.4	77	3034
1A	map02010	ABC transporters	6042	160	515	31.07	160	3021
49A	map00260	"Glycine, serine and threonine metabolism"	6034	66	110	60	66	3017
42A	map00670	One carbon pool by folate	6028	28	65	43.08	28	3014
14A	map01232	Nucleotide metabolism	6018	71	123	57.72	71	3009
49A	map00670	One carbon pool by folate	6014	31	65	47.69	31	3007
47A	map03430	Mismatch repair	6006	19	44	43.18	19	3003
5A	map00670	One carbon pool by folate	5992	23	65	35.38	23	2996
3A	map02010	ABC transporters	5986	155	515	30.1	155	2993
5A	map00270	Cysteine and methionine metabolism	5964	50	129	38.76	50	2982
47A	map00790	Folate biosynthesis	5950	37	84	44.05	37	2975
47A	map00770	Pantothenate and CoA biosynthesis	5774	26	47	55.32	26	2887
49A	map02024	Quorum sensing	5762	76	283	26.86	76	2881
46A	map00270	Cysteine and methionine metabolism	5752	59	129	45.74	59	2876
46A	map00860	Porphyrin metabolism	5736	61	142	42.96	61	2868
49A	map00790	Folate biosynthesis	5654	44	84	52.38	44	2827
1A	map00790	Folate biosynthesis	5650	44	84	52.38	44	2825
1A	map00620	Pyruvate metabolism	5650	71	139	51.08	71	2825
3A	map00270	Cysteine and methionine metabolism	5634	58	129	44.96	58	2817
46A	map02010	ABC transporters	5610	152	515	29.51	152	2805
46A	map00670	One carbon pool by folate	5596	32	65	49.23	32	2798
14A	map03440	Homologous recombination	5558	25	72	34.72	25	2779
47A	map02010	ABC transporters	5542	108	515	20.97	108	2771
42A	map00260	"Glycine, serine and threonine metabolism"	5532	58	110	52.73	58	2766
47A	map00630	Glyoxylate and dicarboxylate metabolism	5504	62	120	51.67	62	2752
49A	map00240	Pyrimidine metabolism	5442	64	115	55.65	64	2721
3A	map00860	Porphyrin metabolism	5432	59	142	41.55	59	2716
42A	map02010	ABC transporters	5422	133	515	25.83	133	2711
5A	map00260	"Glycine, serine and threonine metabolism"	5408	48	110	43.64	48	2704
1A	map03430	Mismatch repair	5392	21	44	47.73	21	2696
42A	map00790	Folate biosynthesis	5386	39	84	46.43	39	2693
1A	map00190	Oxidative phosphorylation	5382	86	224	38.39	86	2691
46A	map00260	"Glycine, serine and threonine metabolism"	5374	60	110	54.55	60	2687
3A	map00670	One carbon pool by folate	5360	32	65	49.23	32	2680
1A	map00630	Glyoxylate and dicarboxylate metabolism	5352	74	120	61.67	74	2676
42A	map00620	Pyruvate metabolism	5330	61	139	43.88	61	2665
5A	map00790	Folate biosynthesis	5318	39	84	46.43	39	2659
1A	map00770	Pantothenate and CoA biosynthesis	5280	30	47	63.83	30	2640
49A	map03430	Mismatch repair	5234	22	44	50	22	2617
42A	map03430	Mismatch repair	5232	20	44	45.45	20	2616
49A	map00630	Glyoxylate and dicarboxylate metabolism	5230	77	120	64.17	77	2615
1A	map02024	Quorum sensing	5196	72	283	25.44	72	2598
14A	map02010	ABC transporters	5176	217	515	42.14	217	2588
47A	map00620	Pyruvate metabolism	5148	58	139	41.73	58	2574
3A	map00260	"Glycine, serine and threonine metabolism"	5144	60	110	54.55	60	2572
13A	map00860	Porphyrin metabolism	5122	66	142	46.48	66	2561
42A	map00630	Glyoxylate and dicarboxylate metabolism	5116	67	120	55.83	67	2558
3A	map02024	Quorum sensing	5076	68	283	24.03	68	2538
42A	map00190	Oxidative phosphorylation	5072	85	224	37.95	85	2536
47A	map04112	Cell cycle - Caulobacter	5070	27	31	87.1	27	2535
49A	map00970	Aminoacyl-tRNA biosynthesis	5038	31	66	46.97	31	2519
5A	map02010	ABC transporters	4996	118	515	22.91	118	2498
